indice,data,horario,POX
"168","2018-09-13","20:39:00","452"
"169","2018-09-13","20:39:00","452"
"170","2018-09-13","20:39:00","458"
"171","2018-09-13","20:39:00","489"
"172","2018-09-13","20:39:00","478"
"173","2018-09-13","20:39:00","466"
"174","2018-09-13","20:39:00","462"
"175","2018-09-13","20:39:00","463"
"176","2018-09-13","20:39:00","459"
"177","2018-09-13","20:39:00","458"
"178","2018-09-13","20:39:00","462"
"179","2018-09-13","20:39:00","471"
"180","2018-09-13","20:39:00","512"
"181","2018-09-13","20:39:00","550"
"182","2018-09-13","20:39:00","583"
"183","2018-09-13","20:39:00","636"
"184","2018-09-13","20:39:00","687"
"185","2018-09-13","20:39:00","734"
"186","2018-09-13","20:39:00","768"
"187","2018-09-13","20:39:00","788"
"188","2018-09-13","20:39:00","797"
"189","2018-09-13","20:39:00","781"
"190","2018-09-13","20:39:00","724"
"191","2018-09-13","20:39:00","682"
"192","2018-09-13","20:39:00","638"
"193","2018-09-13","20:39:00","599"
"194","2018-09-13","20:39:00","554"
"195","2018-09-13","20:39:00","517"
"196","2018-09-13","20:39:00","480"
"197","2018-09-13","20:39:00","451"
"198","2018-09-13","20:39:00","422"
"199","2018-09-13","20:39:00","401"
"200","2018-09-13","20:39:00","403"
"201","2018-09-13","20:39:00","379"
"202","2018-09-13","20:39:00","381"
"203","2018-09-13","20:39:00","386"
"204","2018-09-13","20:39:00","395"
"205","2018-09-13","20:39:00","409"
"206","2018-09-13","20:39:00","424"
"207","2018-09-13","20:39:00","441"
"208","2018-09-13","20:39:00","455"
"209","2018-09-13","20:39:00","471"
"210","2018-09-13","20:39:00","488"
"211","2018-09-13","20:39:00","501"
"212","2018-09-13","20:39:00","505"
"213","2018-09-13","20:39:00","511"
"214","2018-09-13","20:39:00","514"
"215","2018-09-13","20:39:00","508"
"216","2018-09-13","20:39:00","503"
"217","2018-09-13","20:39:00","494"
"218","2018-09-13","20:39:00","490"
"219","2018-09-13","20:39:00","482"
"220","2018-09-13","20:39:00","449"
